Failure type	|Probe	|Usage	|Node Name	|Device Name	|Date/Time	|
-------------------------------------------------------------------------------
Analog Failure	|P273	|1	|PWM_OUT_K_2_	|tp8	|210326173915	|
Analog Failure	|P245	|1	|DO_CM_OFF	|tp736	|210326211117	|
Analog Failure	|P671	|1	|GND	|tp2	|210326211117	|
Analog Failure	|P245	|1	|DO_CM_OFF	|tp736	|210326212012	|
Analog Failure	|P671	|1	|GND	|tp2	|210326212012	|
Analog Failure	|P78	|1	|AGND	|tp983	|210327003808	|
Analog Failure	|P671	|1	|GND	|tp2	|210327055613	|
Analog Failure	|P659	|1	|V3	|tp200	|210327055613	|
Analog Failure	|P671	|1	|GND	|tp2	|210327060034	|
Analog Failure	|P659	|1	|V3	|tp200	|210327060034	|
Analog Failure	|P146	|1	|CM_OUT	|tp109	|210328022420	|
Analog Failure	|P671	|1	|GND	|tp2	|210328022420	|
Analog Failure	|P146	|1	|CM_OUT	|tp109	|210328022732	|
Analog Failure	|P671	|1	|GND	|tp2	|210328022732	|
Analog Failure	|P314	|1	|SIGN1929	|tp235	|210328060239	|
Analog Failure	|P661	|1	|V5	|tp197	|210328060239	|
Analog Failure	|P671	|1	|GND	|tp2	|210328080424	|
Analog Failure	|P475	|1	|SIGN2358	|tp218	|210328080424	|
Analog Failure	|P671	|1	|GND	|tp2	|210328080429	|
Analog Failure	|P476	|1	|SIGN2359	|tp217	|210328080429	|
Analog Failure	|P475	|1	|SIGN2358	|tp218	|210328080432	|
Analog Failure	|P476	|1	|SIGN2359	|tp217	|210328080432	|
Analog Failure	|P475	|1	|SIGN2358	|tp218	|210328080432	|
Analog Failure	|P477	|1	|SIGN2360	|tp226	|210328080432	|
Analog Failure	|P78	|1	|AGND	|tp983	|210328081143	|
Analog Failure	|P78	|1	|AGND	|tp983	|210328082447	|
Analog Failure	|P297	|1	|SIGN1896	|tp124	|210328083843	|
Analog Failure	|P605	|1	|TERM_30	|tp1	|210328083843	|
Analog Failure	|P78	|1	|AGND	|tp983	|210328083848	|
Analog Failure	|P671	|1	|GND	|tp2	|210328092006	|
Analog Failure	|P475	|1	|SIGN2358	|tp218	|210328092006	|
Analog Failure	|P671	|1	|GND	|tp2	|210328092011	|
Analog Failure	|P476	|1	|SIGN2359	|tp217	|210328092011	|
Analog Failure	|P475	|1	|SIGN2358	|tp218	|210328092014	|
Analog Failure	|P476	|1	|SIGN2359	|tp217	|210328092014	|
Analog Failure	|P475	|1	|SIGN2358	|tp218	|210328092014	|
Analog Failure	|P477	|1	|SIGN2360	|tp226	|210328092014	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210328124040	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210328124040	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210328125218	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210328125218	|
Analog Failure	|P133	|1	|AN_IN_B_3_	|tp23	|210328125813	|
Analog Failure	|P337	|1	|SIGN1958	|tp415	|210328125813	|
Analog Failure	|P314	|1	|SIGN1929	|tp235	|210329021729	|
Analog Failure	|P661	|1	|V5	|tp197	|210329021729	|
TestJet Failure	|P52	|1	|_DI_SPICAN_RX0BF__1_	|tp949	|210330143713	|
TestJet Failure	|P262	|1	|DO_VR_SI	|tp184	|210330143713	|
TestJet Failure	|P248	|1	|DO_OEW_ACK_TOGGLE	|tp232	|210330143713	|
TestJet Failure	|P201	|1	|DI_SPICAN_SO_0_	|tp932	|210330143713	|
TestJet Failure	|P84	|1	|AI_AN_IN_A_3_	|tp402	|210330143713	|
TestJet Failure	|P202	|1	|DI_SPICAN_SO_1_	|tp945	|210330143713	|
TestJet Failure	|P72	|1	|_OE_	|tp1000	|210330143713	|
TestJet Failure	|P258	|1	|DO_SPICAN_SI_0_	|tp933	|210330143713	|
TestJet Failure	|P391	|1	|SIGN2209	|tp993	|210330143713	|
TestJet Failure	|P95	|1	|AI_AN_IN_B_5_	|tp423	|210330143713	|
TestJet Failure	|P97	|1	|AI_AN_IN_B_7_	|tp429	|210330143713	|
TestJet Failure	|P170	|1	|DI_DIG_IN_G_11_	|tp571	|210330143713	|
